Matrix,Init Time (ms),Best Time (ms),Best col_frac,Best hot_frac
oscil_dcop_50,0.004426,0.004426,1,1
data,0.004427,0.004427,1,1
cage7,0.004428,0.004428,1,1
extr1b,0.004429,0.004429,1,1
laser,0.00443,0.00443,1,1
bcsstm38,0.004432,0.004432,1,1
Trefethen_500,0.004433,0.004433,1,1
oscil_dcop_10,0.004434,0.004434,1,1
oscil_dcop_27,0.004436,0.004436,1,1
bcspwr05,0.004437,0.004437,1,1
mesh2e1,0.004437,0.004437,1,1
oscil_dcop_39,0.004437,0.004437,1,1
oscil_dcop_18,0.004439,0.004439,1,1
plsk1919,0.004443,0.004443,1,1
lns_511,0.004445,0.004445,1,1
minnesota,0.004445,0.004445,1,1
oscil_dcop_44,0.004445,0.004445,1,1
qh882,0.004445,0.004445,1,1
oscil_dcop_34,0.004446,0.004446,1,1
oscil_dcop_41,0.004446,0.004446,1,1
oscil_dcop_46,0.004446,0.004446,1,1
watt_1,0.004447,0.004447,1,1
nnc666,0.004448,0.004448,1,1
plat362,0.004451,0.004451,1,1
M10PI_n,0.004452,0.004452,1,1
bcsstm35,0.004452,0.004452,1,1
jpwh_991,0.004452,0.004452,1,1
lnsp_511,0.004452,0.004452,1,1
3elt_dual,0.004453,0.004453,1,1
oscil_dcop_52,0.004454,0.004454,1,1
dwt_878,0.004455,0.004455,1,1
young4c,0.004455,0.004455,1,1
bfly,0.004456,0.004456,1,1
oscil_dcop_20,0.004456,0.004456,1,1
jagmesh9,0.004457,0.004457,1,1
nos7,0.004457,0.004457,1,1
oscil_dcop_13,0.004457,0.004457,1,1
rdb2048_noL,0.004462,0.004462,1,1
sherman4,0.004463,0.004463,1,1
lshp1009,0.004466,0.004466,1,1
olm5000,0.004467,0.004467,1,1
M20PI_n1,0.004468,0.004468,1,1
rdb450,0.004468,0.004468,1,1
ccc,0.004469,0.004469,1,1
filter2D,0.004471,0.004471,1,1
fs_541_4,0.004474,0.004474,1,1
cryg2500,0.004475,0.004475,1,1
oscil_dcop_49,0.004478,0.004478,1,1
oscil_dcop_51,0.004479,0.004479,1,1
S10PI_n,0.004481,0.004481,1,1
dwt_419,0.004481,0.004481,1,1
dwt_758,0.004481,0.004481,1,1
circuit204,0.004482,0.004482,1,1
oscil_dcop_40,0.004487,0.004487,1,1
bcsstk09,0.004488,0.004488,1,1
swang1,0.004488,0.004488,1,1
oscil_dcop_38,0.00449,0.00449,1,1
oscil_dcop_32,0.004491,0.004491,1,1
dwt_1242,0.004492,0.004492,1,1
bcspwr06,0.004497,0.004497,1,1
dwt_918,0.004498,0.004498,1,1
cage8,0.0045,0.0045,1,1
cdde2,0.0045,0.0045,1,1
dwt_346,0.0045,0.0045,1,1
lshp2233,0.0045,0.0045,1,1
orsreg_1,0.0045,0.0045,1,1
oscil_dcop_36,0.0045,0.0045,1,1
saylr3,0.004502,0.004502,1,1
rdb800l,0.004601,0.004504,0,0
sphere3,0.004509,0.004509,1,1
bcsstk19,0.004511,0.004511,1,1
lns_3937,0.004517,0.004517,1,1
bcsstk05,0.004524,0.004524,1,1
aug2d,0.004526,0.004526,1,1
M80PI_n1,0.004529,0.004529,1,1
