Matrix Name,square_ratio
bcsstm21,0.480000
bcsstm23,0.479860
bcsstm24,0.479854
bcsstm25,0.479971
bcsstm26,0.479729
bcsstm27,0.421197
bcsstm34,0.395321
bcsstm35,0.096508
bcsstm36,0.116058
bcsstm37,0.130635
bcsstm38,0.070009
bcsstm39,0.479989
belgium_osm,0.442490
benzene,0.416687
bfly,0.480002
bfwa398,0.392351
bfwa782,0.409475
bfwb398,0.383576
bfwb782,0.389663
bibd_81_2,0.480000
big,0.461956
big_dual,0.470028
biplane-9,0.450320
bips07_1693,0.198826
bips07_1998,0.196292
bips07_2476,0.195560
bips07_3078,0.207940
bips98_1142,0.194129
bips98_1450,0.191589
bips98_606,0.215776
blckhole,0.469664
blockqp1,0.130747
bloweya,0.307873
bloweybl,0.309650
bloweybq,0.438695
bmw3_2,0.387814
bmw7st_1,0.425357
bmwcra_1,0.409953
bodyy4,0.478056
bodyy5,0.473313
bodyy6,0.469628
boneS01,0.384559
boneS10,0.356633
boyd1,0.295062
boyd2,0.350902
bp_0,0.146992
bp_1000,0.193555
bp_1200,0.196920
bp_1400,0.197169
bp_1600,0.195827
bp_200,0.170068
bp_400,0.182513
bp_600,0.188064
bp_800,0.188683
brack2,0.388018
brainpc2,0.365587
bratu3d,0.383530
breasttissue_10NN,0.485938
bundle1,0.169689
bundle_adj,0.128685
bwm2000,0.479700
c-18,0.135246
c-19,0.156958
c-20,0.121501
c-21,0.133595
c-22,0.116542
c-23,0.137879
c-24,0.119644
c-25,0.093912
c-26,0.128066
c-27,0.136983
c-28,0.144042
c-29,0.129842
c-30,0.054685
c-31,0.067075
c-32,0.098001
c-33,0.108266
c-34,0.113472
c-35,0.159172
c-36,0.121065
c-37,0.081377
c-38,0.133238
c-39,0.031176
c-40,0.102151
c-41,0.122754
c-42,0.088845
c-43,0.082528
c-44,0.099217
c-45,0.074507
c-46,0.130689
c-47,0.025567
c-48,0.077686
c-49,0.115430
c-50,0.084901
c-51,0.092587
c-52,0.106375
c-53,0.073041
