Matrix Name,cd_perf (ms),cusparse_perf (ms)
can_187,0.0038,0.0105
can_229,0.0042,0.0104
can_256,0.0045,0.0106
can_268,0.0044,0.0107
can_292,0.0043,0.0104
can_445,0.0042,0.0108
can_634,0.0042,0.0106
can_715,0.0041,0.0108
can_838,0.0043,0.0109
cant,0.0424,0.0464
case39,0.1083,0.0179
case9,0.0461,0.0126
cavity01,0.0043,0.0105
cavity02,0.0045,0.0111
cavity03,0.0043,0.0106
cavity04,0.0042,0.0106
cavity05,0.0045,0.0112
cavity06,0.0046,0.0115
cavity07,0.0044,0.0111
cavity08,0.0043,0.0110
cavity09,0.0043,0.0110
cavity10,0.0049,0.0117
cavity11,0.0048,0.0119
cavity12,0.0048,0.0119
cavity13,0.0048,0.0116
cavity14,0.0048,0.0117
cavity15,0.0048,0.0116
cavity16,0.0050,0.0119
cavity17,0.0052,0.0121
cavity18,0.0050,0.0121
cavity19,0.0050,0.0121
cavity20,0.0051,0.0121
cavity21,0.0051,0.0121
cavity22,0.0050,0.0123
cavity23,0.0052,0.0122
cavity24,0.0052,0.0122
cavity25,0.0052,0.0122
cavity26,0.0051,0.0127
cbuckle,0.0073,0.0155
cca,0.0054,0.0140
ccc,0.0051,0.0134
cdde1,0.0039,0.0113
cdde2,0.0039,0.0107
cdde3,0.0040,0.0113
cdde4,0.0038,0.0110
cdde5,0.0038,0.0112
cdde6,0.0040,0.0108
cegb2802,0.0053,0.0125
cegb2919,0.0059,0.0133
cegb3024,0.0046,0.0119
cegb3306,0.0049,0.0115
celegans_metabolic,0.0047,0.0109
celegansneural,0.0044,0.0111
cell1,0.0040,0.0118
cell2,0.0040,0.0118
cfd1,0.0155,0.0252
cfd2,0.0369,0.0376
ch5-5-b3,0.0039,0.0109
ch7-8-b5,0.0090,0.0205
channel-500x100x100-b050,0.7842,0.8971
chem_master1,0.0050,0.0139
chipcool0,0.0072,0.0157
chipcool1,0.0071,0.0152
circuit204,0.0042,0.0107
circuit5M,0.6539,0.7361
circuit5M_dc,0.2502,0.2820
circuit_1,0.0045,0.0115
circuit_2,0.0045,0.0118
circuit_3,0.0050,0.0123
circuit_4,0.0066,0.0151
cit-HepPh,0.0109,0.0196
cit-HepTh,0.0108,0.0193
cit-Patents,0.3216,0.3140
citationCiteseer,0.0380,0.0464
ck400,0.0040,0.0104
ck656,0.0043,0.0107
ckt11752_dc_1,0.0074,0.0143
ckt11752_tr_0,0.0074,0.0145
cnae9_10NN,0.0050,0.0118
cnr-2000,0.0459,0.0446
co2010,0.0136,0.0248
coAuthorsCiteseer,0.0165,0.0268
coAuthorsDBLP,0.0221,0.0326
coPapersCiteseer,0.2798,0.2740
coPapersDBLP,0.2744,0.2648
coater1,0.0044,0.0109
coater2,0.0056,0.0129
collins_15NN,0.0043,0.0108
com-Amazon,0.0292,0.0406
com-DBLP,0.0294,0.0381
com-LiveJournal,1.0191,0.9202
com-Orkut,3.1883,3.0012
com-Youtube,0.0834,0.0888
commanche_dual,0.0041,0.0115
comsol,0.0055,0.0122
