Matrix Name,cd_perf (ms),cusparse_perf (ms)
adder_dcop_15,0.0049,0.0092
adder_dcop_16,0.0052,0.0093
adder_dcop_17,0.0050,0.0093
adder_dcop_18,0.0049,0.0091
adder_dcop_19,0.0050,0.0091
adder_dcop_20,0.0050,0.0092
adder_dcop_21,0.0049,0.0092
adder_dcop_22,0.0052,0.0092
adder_dcop_23,0.0050,0.0092
adder_dcop_24,0.0050,0.0092
adder_dcop_25,0.0050,0.0092
adder_dcop_26,0.0049,0.0091
adder_dcop_27,0.0050,0.0091
adder_dcop_28,0.0052,0.0093
adder_dcop_29,0.0051,0.0092
adder_dcop_30,0.0050,0.0092
adder_dcop_31,0.0050,0.0092
adder_dcop_32,0.0050,0.0092
adder_dcop_33,0.0051,0.0091
adder_dcop_34,0.0050,0.0091
adder_dcop_35,0.0049,0.0092
adder_dcop_36,0.0051,0.0092
adder_dcop_37,0.0050,0.0093
adder_dcop_38,0.0050,0.0092
adder_dcop_39,0.0049,0.0091
adder_dcop_40,0.0050,0.0091
adder_dcop_41,0.0049,0.0091
adder_dcop_42,0.0050,0.0091
adder_dcop_43,0.0050,0.0092
adder_dcop_44,0.0050,0.0091
adder_dcop_45,0.0050,0.0091
adder_dcop_46,0.0051,0.0092
adder_dcop_47,0.0051,0.0092
adder_dcop_48,0.0051,0.0093
adder_dcop_49,0.0050,0.0092
adder_dcop_50,0.0051,0.0091
adder_dcop_51,0.0050,0.0093
adder_dcop_52,0.0050,0.0094
adder_dcop_53,0.0049,0.0092
adder_dcop_54,0.0051,0.0093
adder_dcop_55,0.0050,0.0094
adder_dcop_56,0.0050,0.0091
adder_dcop_57,0.0050,0.0092
adder_dcop_58,0.0050,0.0092
adder_dcop_59,0.0049,0.0092
adder_dcop_60,0.0050,0.0092
adder_dcop_61,0.0049,0.0090
adder_dcop_62,0.0050,0.0091
adder_dcop_63,0.0052,0.0093
adder_dcop_64,0.0051,0.0091
adder_dcop_65,0.0050,0.0092
adder_dcop_66,0.0051,0.0093
adder_dcop_67,0.0052,0.0093
adder_dcop_68,0.0050,0.0091
adder_dcop_69,0.0050,0.0092
adder_trans_01,0.0050,0.0091
adder_trans_02,0.0050,0.0091
af23560,0.0069,0.0101
af_0_k101,0.0860,0.1103
af_1_k101,0.0859,0.1101
af_2_k101,0.0859,0.1101
af_3_k101,0.0859,0.1102
af_4_k101,0.0859,0.1103
af_5_k101,0.0859,0.1102
af_shell1,0.0863,0.1108
af_shell10,0.2358,0.3128
af_shell2,0.0863,0.1108
af_shell3,0.0863,0.1106
af_shell4,0.0863,0.1106
af_shell5,0.0862,0.1108
af_shell6,0.0863,0.1108
af_shell7,0.0863,0.1109
af_shell8,0.0863,0.1108
af_shell9,0.0863,0.1107
aft01,0.0055,0.0092
aft02,0.0055,0.0091
