Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,du_spmv (ms),cdspmv (ms)
Long_Coup_dt6,1470152,87088992,(0.8125, 0.65),0.567653,0.4322,0.3
Long_Coup_dt6,1470152,87088992,(0.875, 0.7),0.570260,0.4711,0.2646
ML_Geer,1504002,110879972,(0.1875, 0.15),0.598054,0.0951,0.8104
ML_Geer,1504002,110879972,(0.25, 0.2),0.598996,0.1403,0.7636
ML_Geer,1504002,110879972,(0.3125, 0.25),0.599561,0.1788,0.7177
ML_Geer,1504002,110879972,(0.375, 0.3),0.598919,0.2188,0.6744
ML_Geer,1504002,110879972,(0.4375, 0.35),0.598954,0.263,0.6278
ML_Geer,1504002,110879972,(0.5, 0.4),0.599210,0.303,0.5818
ML_Geer,1504002,110879972,(0.5625, 0.45),0.599828,0.3458,0.5354
ML_Geer,1504002,110879972,(0.625, 0.5),0.600602,0.3859,0.4904
ML_Geer,1504002,110879972,(0.6875, 0.55),0.601488,0.4274,0.4446
ML_Geer,1504002,110879972,(0.75, 0.6),0.602607,0.4681,0.3983
ML_Geer,1504002,110879972,(0.8125, 0.65),0.603782,0.5081,0.3526
ML_Geer,1504002,110879972,(0.875, 0.7),0.605023,0.5483,0.3056
ML_Laplace,377002,27689972,(0.1875, 0.15),0.591619,0.0235,0.2118
ML_Laplace,377002,27689972,(0.25, 0.2),0.593478,0.0504,0.2001
ML_Laplace,377002,27689972,(0.3125, 0.25),0.594151,0.0583,0.19
ML_Laplace,377002,27689972,(0.375, 0.3),0.594214,0.0648,0.1782
ML_Laplace,377002,27689972,(0.4375, 0.35),0.594662,0.0815,0.1662
ML_Laplace,377002,27689972,(0.5, 0.4),0.595261,0.0895,0.1547
ML_Laplace,377002,27689972,(0.5625, 0.45),0.596130,0.0953,0.1436
ML_Laplace,377002,27689972,(0.625, 0.5),0.597063,0.1115,0.1315
ML_Laplace,377002,27689972,(0.6875, 0.55),0.598186,0.1192,0.1202
ML_Laplace,377002,27689972,(0.75, 0.6),0.599428,0.126,0.1081
ML_Laplace,377002,27689972,(0.8125, 0.65),0.600815,0.1414,0.0972
ML_Laplace,377002,27689972,(0.875, 0.7),0.602265,0.1489,0.0854
Queen_4147,4147110,329499284,(0.1875, 0.15),0.515518,0.2952,2.4753
Queen_4147,4147110,329499284,(0.25, 0.2),0.515890,0.434,2.333
Queen_4147,4147110,329499284,(0.3125, 0.25),0.516499,0.5734,2.188
Queen_4147,4147110,329499284,(0.375, 0.3),0.517228,0.7127,2.0499
Queen_4147,4147110,329499284,(0.4375, 0.35),0.517618,0.8488,1.9026
Queen_4147,4147110,329499284,(0.5, 0.4),0.518051,0.9881,1.7544
Queen_4147,4147110,329499284,(0.5625, 0.45),0.518262,1.1248,1.6135
Queen_4147,4147110,329499284,(0.625, 0.5),0.518569,1.262,1.4662
Queen_4147,4147110,329499284,(0.6875, 0.55),0.518813,1.4018,1.3211
Queen_4147,4147110,329499284,(0.75, 0.6),0.518804,1.5389,1.1799
Queen_4147,4147110,329499284,(0.8125, 0.65),0.518885,1.6749,1.0434
