Matrix Name,cd_perf (ms),cusparse_perf (ms)
TSOPF_FS_b300_c1,0.0458,0.0449
TSOPF_FS_b300_c2,0.0805,0.0796
TSOPF_FS_b300_c3,0.1170,0.1138
TSOPF_FS_b39_c19,0.2241,0.0239
TSOPF_FS_b39_c30,0.3714,0.0352
TSOPF_FS_b39_c7,0.0790,0.0164
TSOPF_FS_b9_c1,0.0046,0.0113
TSOPF_FS_b9_c6,0.0467,0.0127
TSOPF_RS_b162_c1,0.0057,0.0127
TSOPF_RS_b162_c3,0.0077,0.0154
TSOPF_RS_b162_c4,0.0089,0.0168
TSOPF_RS_b2052_c1,0.0634,0.0612
TSOPF_RS_b2383,0.1373,0.1290
TSOPF_RS_b2383_c1,0.1373,0.1293
TSOPF_RS_b300_c1,0.0119,0.0191
TSOPF_RS_b300_c2,0.0298,0.0325
TSOPF_RS_b300_c3,0.0458,0.0488
TSOPF_RS_b39_c19,0.0087,0.0163
TSOPF_RS_b39_c30,0.0117,0.0190
TSOPF_RS_b39_c7,0.0061,0.0131
TSOPF_RS_b678_c1,0.0448,0.0439
TSOPF_RS_b678_c2,0.0809,0.0783
TSOPF_RS_b9_c6,0.0050,0.0118
Transport,0.2295,0.2530
Trefethen_150,0.0044,0.0101
Trefethen_200,0.0044,0.0106
Trefethen_2000,0.0049,0.0115
Trefethen_20000,0.0092,0.0167
Trefethen_20000b,0.0092,0.0168
Trefethen_200b,0.0045,0.0107
Trefethen_300,0.0045,0.0103
Trefethen_500,0.0045,0.0104
Trefethen_700,0.0046,0.0109
USAir97,0.0046,0.0106
USpowerGrid,0.0051,0.0119
Vehicle_10NN,0.0045,0.0107
Wordnet3,0.0180,0.0147
YaleA_10NN,0.0046,0.0102
YaleB_10NN,0.0049,0.0115
Zd_Jac2,0.0147,0.0213
Zd_Jac2_db,0.0099,0.0174
Zd_Jac3,0.0164,0.0220
Zd_Jac3_db,0.0100,0.0173
Zd_Jac6,0.0150,0.0209
Zd_Jac6_db,0.0098,0.0168
Zewail,0.0069,0.0133
Zhao1,0.0054,0.0134
Zhao2,0.0054,0.0134
a0nsdsil,0.2322,0.0151
a2nnsnsl,0.2313,0.0154
a5esindl,0.1790,0.0141
adaptive,0.4645,0.4892
add20,0.0049,0.0118
add32,0.0049,0.0117
adder_dcop_01,0.0049,0.0113
adder_dcop_02,0.0046,0.0113
adder_dcop_03,0.0049,0.0113
adder_dcop_04,0.0051,0.0115
adder_dcop_05,0.0051,0.0113
adder_dcop_06,0.0048,0.0119
adder_dcop_07,0.0046,0.0118
adder_dcop_08,0.0046,0.0113
adder_dcop_09,0.0046,0.0114
adder_dcop_10,0.0047,0.0114
adder_dcop_11,0.0046,0.0112
adder_dcop_12,0.0046,0.0113
adder_dcop_13,0.0046,0.0114
adder_dcop_14,0.0046,0.0116
adder_dcop_15,0.0048,0.0119
adder_dcop_16,0.0046,0.0117
adder_dcop_17,0.0048,0.0114
adder_dcop_18,0.0048,0.0119
adder_dcop_19,0.0048,0.0116
adder_dcop_20,0.0046,0.0116
adder_dcop_21,0.0048,0.0116
adder_dcop_22,0.0046,0.0117
adder_dcop_23,0.0048,0.0116
adder_dcop_24,0.0046,0.0114
adder_dcop_25,0.0046,0.0116
adder_dcop_26,0.0048,0.0119
adder_dcop_27,0.0046,0.0113
adder_dcop_28,0.0045,0.0114
adder_dcop_29,0.0046,0.0114
adder_dcop_30,0.0046,0.0117
adder_dcop_31,0.0045,0.0114
adder_dcop_32,0.0046,0.0117
adder_dcop_33,0.0046,0.0113
adder_dcop_34,0.0048,0.0116
adder_dcop_35,0.0046,0.0112
adder_dcop_36,0.0048,0.0119
adder_dcop_37,0.0046,0.0116
adder_dcop_38,0.0046,0.0117
adder_dcop_39,0.0046,0.0116
adder_dcop_40,0.0046,0.0117
adder_dcop_41,0.0047,0.0114
adder_dcop_42,0.0046,0.0113
adder_dcop_43,0.0046,0.0113
adder_dcop_44,0.0046,0.0114
adder_dcop_45,0.0045,0.0114
adder_dcop_46,0.0046,0.0117
adder_dcop_47,0.0048,0.0114
adder_dcop_48,0.0047,0.0119
adder_dcop_49,0.0046,0.0114
adder_dcop_50,0.0046,0.0114
adder_dcop_51,0.0045,0.0114
adder_dcop_52,0.0046,0.0114
adder_dcop_53,0.0047,0.0119
adder_dcop_54,0.0046,0.0116
adder_dcop_55,0.0046,0.0113
adder_dcop_56,0.0046,0.0117
adder_dcop_57,0.0046,0.0117
adder_dcop_58,0.0048,0.0119
adder_dcop_59,0.0048,0.0119
adder_dcop_60,0.0046,0.0114
adder_dcop_61,0.0046,0.0115
adder_dcop_62,0.0048,0.0119
adder_dcop_63,0.0047,0.0119
adder_dcop_64,0.0046,0.0116
adder_dcop_65,0.0048,0.0119
adder_dcop_66,0.0045,0.0114
adder_dcop_67,0.0047,0.0118
adder_dcop_68,0.0046,0.0115
adder_dcop_69,0.0045,0.0115
adder_trans_01,0.0051,0.0114
adder_trans_02,0.0050,0.0112
af23560,0.0074,0.0146
af_0_k101,0.1646,0.1651
af_1_k101,0.1646,0.1649
af_2_k101,0.1648,0.1652
af_3_k101,0.1647,0.1652
af_4_k101,0.1646,0.1647
af_5_k101,0.1648,0.1652
af_shell1,0.1650,0.1653
af_shell10,0.4684,0.4986
af_shell2,0.1651,0.1651
af_shell3,0.1649,0.1650
af_shell4,0.1649,0.1649
af_shell5,0.1650,0.1649
af_shell6,0.1650,0.1651
af_shell7,0.1650,0.1653
af_shell8,0.1651,0.1655
af_shell9,0.1650,0.1649
aft01,0.0055,0.0128
aft02,0.0053,0.0120
airfoil1,0.0043,0.0117
airfoil1_dual,0.0046,0.0115
airfoil_2d,0.0065,0.0138
ak2010,0.0072,0.0147
al2010,0.0163,0.0271
amazon-2008,0.0670,0.0629
amazon0302,0.0154,0.0263
amazon0312,0.0433,0.0453
amazon0505,0.0452,0.0459
amazon0601,0.0451,0.0463
analytics,0.0222,0.0303
apache1,0.0074,0.0163
apache2,0.0632,0.0609
appu,0.0303,0.0410
ar2010,0.0124,0.0231
arabic-2005,5.6019,6.1009
arc130,0.0044,0.0102
as-22july06,0.0065,0.0142
as-735,0.0069,0.0131
as-Skitter,0.2485,0.2443
as-caida,0.0076,0.0148
ash292,0.0042,0.0102
asia_osm,0.4759,0.5191
astro-ph,0.0072,0.0140
atmosmodd,0.1057,0.1101
atmosmodj,0.1058,0.1104
atmosmodl,0.1210,0.1307
atmosmodm,0.1210,0.1309
audikw_1,0.7004,0.6829
aug2d,0.0055,0.0127
aug2dc,0.0053,0.0133
aug3d,0.0056,0.0129
aug3dcqp,0.0055,0.0132
auto,0.0865,0.0887
av41092,0.0156,0.0220
az2010,0.0170,0.0267
b2_ss,0.0049,0.0119
b_dyn,0.0050,0.0115
barrier2-1,0.0442,0.0428
barrier2-10,0.0448,0.0431
barrier2-11,0.0449,0.0433
barrier2-12,0.0448,0.0431
barrier2-2,0.0442,0.0419
barrier2-3,0.0442,0.0422
barrier2-4,0.0442,0.0418
barrier2-9,0.0448,0.0430
barth,0.0054,0.0130
barth4,0.0045,0.0118
barth5,0.0052,0.0125
bauru5727,0.0058,0.0135
bayer01,0.0063,0.0141
bayer02,0.0053,0.0127
bayer03,0.0053,0.0120
bayer04,0.0060,0.0134
bayer05,0.0050,0.0118
bayer06,0.0047,0.0112
bayer07,0.0050,0.0119
bayer08,0.0046,0.0112
bayer09,0.0053,0.0118
bayer10,0.0052,0.0126
bbmat,0.0146,0.0236
bcircuit,0.0070,0.0154
bcspwr04,0.0045,0.0106
bcspwr05,0.0048,0.0108
bcspwr06,0.0049,0.0110
bcspwr07,0.0049,0.0109
bcspwr08,0.0049,0.0111
bcspwr09,0.0048,0.0114
bcspwr10,0.0051,0.0123
bcsstk02,0.0045,0.0104
bcsstk04,0.0047,0.0100
bcsstk05,0.0043,0.0103
bcsstk06,0.0044,0.0105
bcsstk07,0.0046,0.0108
bcsstk08,0.0049,0.0112
bcsstk09,0.0044,0.0111
bcsstk10,0.0047,0.0111
bcsstk11,0.0047,0.0114
bcsstk12,0.0047,0.0114
bcsstk13,0.0053,0.0121
bcsstk14,0.0048,0.0110
bcsstk15,0.0054,0.0124
bcsstk16,0.0063,0.0132
bcsstk17,0.0068,0.0140
bcsstk18,0.0057,0.0128
bcsstk19,0.0045,0.0115
bcsstk20,0.0043,0.0107
bcsstk21,0.0046,0.0114
bcsstk23,0.0049,0.0114
bcsstk24,0.0054,0.0119
bcsstk25,0.0062,0.0136
bcsstk26,0.0046,0.0114
bcsstk27,0.0048,0.0108
bcsstk28,0.0058,0.0127
bcsstk29,0.0079,0.0155
bcsstk30,0.0158,0.0243
bcsstk31,0.0118,0.0194
bcsstk32,0.0156,0.0243
bcsstk33,0.0081,0.0154
bcsstk34,0.0046,0.0105
bcsstk35,0.0124,0.0204
bcsstk36,0.0109,0.0186
bcsstk37,0.0111,0.0187
bcsstk38,0.0065,0.0140
bcsstk39,0.0162,0.0251
bcsstm07,0.0047,0.0108
bcsstm08,0.0052,0.0121
bcsstm09,0.0050,0.0119
bcsstm10,0.0044,0.0108
bcsstm11,0.0049,0.0124
bcsstm12,0.0046,0.0116
bcsstm13,0.0052,0.0121
bcsstm21,0.0051,0.0121
bcsstm23,0.0052,0.0120
bcsstm24,0.0053,0.0122
bcsstm25,0.0054,0.0129
bcsstm26,0.0052,0.0118
bcsstm27,0.0048,0.0112
bcsstm34,0.0046,0.0104
bcsstm35,0.0071,0.0154
bcsstm36,0.0064,0.0142
bcsstm37,0.0071,0.0150
bcsstm38,0.0071,0.0134
bcsstm39,0.0057,0.0134
belgium_osm,0.0615,0.0704
benzene,0.0063,0.0135
bfly,0.0056,0.0141
bfwa398,0.0045,0.0103
bfwa782,0.0044,0.0110
bfwb398,0.0043,0.0101
bfwb782,0.0045,0.0107
bibd_81_2,0.0051,0.0118
big,0.0051,0.0126
big_dual,0.0052,0.0133
biplane-9,0.0054,0.0130
bips07_1693,0.0052,0.0122
bips07_1998,0.0055,0.0125
bips07_2476,0.0053,0.0125
bips07_3078,0.0053,0.0125
bips98_1142,0.0053,0.0125
bips98_1450,0.0051,0.0123
bips98_606,0.0049,0.0120
blckhole,0.0044,0.0111
blockqp1,0.0084,0.0161
bloweya,0.0058,0.0133
bloweybl,0.0056,0.0130
bloweybq,0.0341,0.0123
bmw3_2,0.1093,0.1100
bmw7st_1,0.0743,0.0763
bmwcra_1,0.1021,0.1042
bodyy4,0.0050,0.0123
bodyy5,0.0050,0.0127
bodyy6,0.0053,0.0129
bone010,0.6189,0.6255
boneS01,0.0696,0.0700
boneS10,0.4834,0.4859
boyd1,0.0116,0.0195
boyd2,0.0155,0.0261
bp_0,0.0052,0.0109
bp_1000,0.0048,0.0106
bp_1200,0.0049,0.0106
bp_1400,0.0051,0.0107
bp_1600,0.0048,0.0103
bp_200,0.0051,0.0109
bp_400,0.0049,0.0107
bp_600,0.0049,0.0111
bp_800,0.0050,0.0107
brack2,0.0093,0.0178
brainpc2,0.0058,0.0136
bratu3d,0.0060,0.0133
breasttissue_10NN,0.0044,0.0099
bundle1,0.0358,0.0163
bundle_adj,2.1634,0.1731
bwm2000,0.0048,0.0114
c-18,0.0048,0.0120
c-19,0.0052,0.0114
c-20,0.0051,0.0121
c-21,0.0063,0.0122
c-22,0.0049,0.0115
c-23,0.0067,0.0123
c-24,0.0055,0.0118
c-25,0.0049,0.0121
c-26,0.0052,0.0120
c-27,0.0063,0.0124
c-28,0.0047,0.0117
c-29,0.0062,0.0120
c-30,0.0200,0.0121
c-31,0.0058,0.0125
c-32,0.0215,0.0120
c-33,0.0052,0.0125
c-34,0.0060,0.0126
c-35,0.0055,0.0119
c-36,0.0056,0.0120
c-37,0.0058,0.0120
c-38,0.0063,0.0121
c-39,0.0058,0.0128
c-40,0.0055,0.0125
c-41,0.0060,0.0124
c-42,0.0059,0.0124
c-43,0.0058,0.0132
c-44,0.0054,0.0125
