Matrix Name,cd_perf (ms),cusparse_perf (ms)
Trefethen_20000,0.0079,0.0169
Trefethen_20000b,0.0079,0.0172
Trefethen_200b,0.0045,0.0127
Trefethen_300,0.0045,0.0118
Trefethen_500,0.0045,0.0122
Trefethen_700,0.0048,0.0129
USAir97,0.0049,0.0118
USpowerGrid,0.0061,0.0146
Vehicle_10NN,0.0046,0.0126
Wordnet3,0.0343,0.0173
YaleA_10NN,0.0043,0.0117
YaleB_10NN,0.0050,0.0142
Zd_Jac2,0.0178,0.0223
Zd_Jac2_db,0.0113,0.0182
Zd_Jac3,0.0217,0.0243
Zd_Jac3_db,0.0115,0.0179
Zd_Jac6,0.0193,0.0235
Zd_Jac6_db,0.0115,0.0183
Zewail,0.0105,0.0146
Zhao1,0.0060,0.0151
Zhao2,0.0058,0.0149
a0nsdsil,0.4796,0.0165
a2nnsnsl,0.4755,0.0162
a5esindl,0.3554,0.0156
adaptive,0.2285,0.2364
add20,0.0056,0.0139
add32,0.0057,0.0144
adder_dcop_01,0.0048,0.0137
adder_dcop_02,0.0048,0.0135
adder_dcop_03,0.0048,0.0134
adder_dcop_04,0.0050,0.0136
adder_dcop_05,0.0053,0.0137
adder_dcop_06,0.0049,0.0134
adder_dcop_07,0.0048,0.0134
adder_dcop_08,0.0047,0.0136
adder_dcop_09,0.0047,0.0134
adder_dcop_10,0.0047,0.0136
adder_dcop_11,0.0047,0.0134
adder_dcop_12,0.0047,0.0135
adder_dcop_13,0.0048,0.0134
adder_dcop_14,0.0048,0.0133
adder_dcop_15,0.0048,0.0138
adder_dcop_16,0.0049,0.0137
adder_dcop_17,0.0048,0.0138
adder_dcop_18,0.0048,0.0138
adder_dcop_19,0.0048,0.0137
adder_dcop_20,0.0047,0.0134
adder_dcop_21,0.0048,0.0136
adder_dcop_22,0.0048,0.0135
adder_dcop_23,0.0048,0.0137
adder_dcop_24,0.0049,0.0137
adder_dcop_25,0.0047,0.0134
adder_dcop_26,0.0048,0.0136
adder_dcop_27,0.0047,0.0134
adder_dcop_28,0.0048,0.0135
adder_dcop_29,0.0047,0.0135
adder_dcop_30,0.0047,0.0134
adder_dcop_31,0.0047,0.0134
adder_dcop_32,0.0048,0.0135
adder_dcop_33,0.0049,0.0137
adder_dcop_34,0.0049,0.0139
adder_dcop_35,0.0048,0.0134
adder_dcop_36,0.0049,0.0137
adder_dcop_37,0.0049,0.0138
