Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,du_spmv (ms),cdspmv (ms)
arabic-2005,22744080,639999458,(0.75, 0.6),0.804824,2.0755,1.3446
arabic-2005,22744080,639999458,(0.8125, 0.65),0.761988,2.3757,1.2219
arabic-2005,22744080,639999458,(0.875, 0.7),0.713161,2.7345,1.0997
bone010,986703,71666325,(0.125, 0.1),0.468751,0.0641,0.2817
bone010,986703,71666325,(0.1875, 0.15),0.467606,0.1081,0.2665
bone010,986703,71666325,(0.25, 0.2),0.472123,0.136,0.2517
bone010,986703,71666325,(0.3125, 0.25),0.473123,0.1655,0.2372
bone010,986703,71666325,(0.375, 0.3),0.475229,0.195,0.2227
bone010,986703,71666325,(0.4375, 0.35),0.472816,0.227,0.2079
bone010,986703,71666325,(0.5, 0.4),0.466053,0.2613,0.1935
bone010,986703,71666325,(0.5625, 0.45),0.460653,0.2952,0.1793
bone010,986703,71666325,(0.625, 0.5),0.459474,0.3265,0.1647
bone010,986703,71666325,(0.6875, 0.55),0.458110,0.3592,0.1504
bone010,986703,71666325,(0.75, 0.6),0.458866,0.3902,0.1362
bone010,986703,71666325,(0.8125, 0.65),0.463690,0.4178,0.1215
bone010,986703,71666325,(0.875, 0.7),0.474730,0.4386,0.108
it-2004,41291594,1150725436,(0.125, 0.1),0.917930,0.6485,4.8371
it-2004,41291594,1150725436,(0.1875, 0.15),0.919247,0.9406,4.6055
it-2004,41291594,1150725436,(0.25, 0.2),0.924865,1.2218,4.372
it-2004,41291594,1150725436,(0.3125, 0.25),0.928719,1.4739,4.1178
it-2004,41291594,1150725436,(0.375, 0.3),0.929091,1.7244,3.8834
it-2004,41291594,1150725436,(0.4375, 0.35),0.922607,1.9741,3.6378
it-2004,41291594,1150725436,(0.5, 0.4),0.915294,2.2269,3.3991
it-2004,41291594,1150725436,(0.5625, 0.45),0.895442,2.537,3.1542
it-2004,41291594,1150725436,(0.625, 0.5),0.873949,2.876,2.9086
it-2004,41291594,1150725436,(0.6875, 0.55),0.842870,3.2652,2.6701
it-2004,41291594,1150725436,(0.75, 0.6),0.794497,3.7665,2.4335
it-2004,41291594,1150725436,(0.8125, 0.65),0.736183,4.3968,2.2413
it-2004,41291594,1150725436,(0.875, 0.7),0.681349,5.1385,2.0209
ldoor,952203,46522475,(0.125, 0.1),0.534262,0.0376,0.1888
ldoor,952203,46522475,(0.1875, 0.15),0.534074,0.0572,0.1797
ldoor,952203,46522475,(0.25, 0.2),0.531585,0.0856,0.1705
ldoor,952203,46522475,(0.3125, 0.25),0.530922,0.1078,0.1613
ldoor,952203,46522475,(0.375, 0.3),0.531253,0.1272,0.1524
ldoor,952203,46522475,(0.4375, 0.35),0.531408,0.1461,0.1425
ldoor,952203,46522475,(0.5, 0.4),0.528851,0.1652,0.1326
ldoor,952203,46522475,(0.5625, 0.45),0.528898,0.183,0.1228
ldoor,952203,46522475,(0.625, 0.5),0.528300,0.2013,0.1136
ldoor,952203,46522475,(0.6875, 0.55),0.524277,0.2201,0.1033
ldoor,952203,46522475,(0.75, 0.6),0.522619,0.2372,0.0932
ldoor,952203,46522475,(0.8125, 0.65),0.521344,0.2523,0.2548
ldoor,952203,46522475,(0.875, 0.7),0.520915,0.2676,1.9207
sk-2005,50636154,1949412601,(0.125, 0.1),0.930127,1.0337,7.8414
sk-2005,50636154,1949412601,(0.1875, 0.15),0.944065,1.4197,7.4584
sk-2005,50636154,1949412601,(0.25, 0.2),0.946343,1.8229,7.0746
sk-2005,50636154,1949412601,(0.3125, 0.25),0.951668,2.2457,6.6872
sk-2005,50636154,1949412601,(0.375, 0.3),0.942556,2.6743,6.3021
sk-2005,50636154,1949412601,(0.4375, 0.35),0.933474,3.1345,5.9023
sk-2005,50636154,1949412601,(0.5, 0.4),0.925428,3.5883,5.5012
sk-2005,50636154,1949412601,(0.5625, 0.45),0.907979,4.1015,5.1099
sk-2005,50636154,1949412601,(0.625, 0.5),0.747783,5.3167,4.6867
sk-2005,50636154,1949412601,(0.6875, 0.55),0.729835,6.0243,4.2982
sk-2005,50636154,1949412601,(0.75, 0.6),0.695720,6.9247,3.8888
sk-2005,50636154,1949412601,(0.8125, 0.65),0.659246,7.9657,3.5007
sk-2005,50636154,1949412601,(0.875, 0.7),0.631004,9.0219,3.1172
uk-2002,18520486,298113762,(0.125, 0.1),0.883797,0.1866,1.3733
uk-2002,18520486,298113762,(0.1875, 0.15),0.887848,0.2723,1.3153
uk-2002,18520486,298113762,(0.25, 0.2),0.887638,0.3577,1.2561
uk-2002,18520486,298113762,(0.3125, 0.25),0.883205,0.4427,1.194
uk-2002,18520486,298113762,(0.375, 0.3),0.878034,0.5281,1.1355
uk-2002,18520486,298113762,(0.4375, 0.35),0.868785,0.6147,1.0736
uk-2002,18520486,298113762,(0.5, 0.4),0.849707,0.711,1.0186
uk-2002,18520486,298113762,(0.5625, 0.45),0.822313,0.8178,0.9553
uk-2002,18520486,298113762,(0.625, 0.5),0.793635,0.9343,0.8933
uk-2002,18520486,298113762,(0.6875, 0.55),0.759504,1.0672,0.8373
uk-2002,18520486,298113762,(0.75, 0.6),0.717150,1.2215,0.7846
uk-2002,18520486,298113762,(0.8125, 0.65),0.661666,1.4187,0.7332
uk-2002,18520486,298113762,(0.875, 0.7),0.589376,1.6923,0.6749
uk-2005,39459925,936364282,(0.125, 0.1),0.920888,0.4524,3.9667
uk-2005,39459925,936364282,(0.1875, 0.15),0.775355,0.8002,3.7605
uk-2005,39459925,936364282,(0.25, 0.2),0.810529,1.0201,3.5713
uk-2005,39459925,936364282,(0.3125, 0.25),0.824267,1.2514,3.382
uk-2005,39459925,936364282,(0.375, 0.3),0.831672,1.4988,3.1937
uk-2005,39459925,936364282,(0.4375, 0.35),0.831590,1.755,3.0045
uk-2005,39459925,936364282,(0.5, 0.4),0.827664,2.0163,2.8167
uk-2005,39459925,936364282,(0.5625, 0.45),0.820160,2.2934,2.6265
uk-2005,39459925,936364282,(0.625, 0.5),0.815248,2.55,2.4438
uk-2005,39459925,936364282,(0.6875, 0.55),0.800815,2.8621,2.2543
uk-2005,39459925,936364282,(0.75, 0.6),0.778413,3.2286,2.1127
uk-2005,39459925,936364282,(0.8125, 0.65),0.740359,3.7022,1.9749
uk-2005,39459925,936364282,(0.875, 0.7),0.688459,4.3235,2.0315
