Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,se_spmv (ms),cdspmv (ms)
Long_Coup_dt6,1470152,87088992,(0.75, 0.6),0.566078,0.2872,0.1645
Long_Coup_dt6,1470152,87088992,(0.8125, 0.65),0.567653,0.3149,0.1477
Long_Coup_dt6,1470152,87088992,(0.875, 0.7),0.570260,0.3319,0.1313
ML_Geer,1504002,110879972,(0.125, 0.1),0.596524,0.0657,0.4263
ML_Geer,1504002,110879972,(0.1875, 0.15),0.598054,0.0907,0.4041
ML_Geer,1504002,110879972,(0.25, 0.2),0.598996,0.1172,0.3826
ML_Geer,1504002,110879972,(0.3125, 0.25),0.599561,0.1454,0.3604
ML_Geer,1504002,110879972,(0.375, 0.3),0.598919,0.184,0.3386
ML_Geer,1504002,110879972,(0.4375, 0.35),0.598954,0.2023,0.3162
ML_Geer,1504002,110879972,(0.5, 0.4),0.599210,0.2355,0.2941
ML_Geer,1504002,110879972,(0.5625, 0.45),0.599828,0.2561,0.2719
ML_Geer,1504002,110879972,(0.625, 0.5),0.600602,0.2868,0.2497
ML_Geer,1504002,110879972,(0.6875, 0.55),0.601488,0.3103,0.2273
ML_Geer,1504002,110879972,(0.75, 0.6),0.602607,0.338,0.2052
ML_Geer,1504002,110879972,(0.8125, 0.65),0.603782,0.3674,0.1835
ML_Geer,1504002,110879972,(0.875, 0.7),0.605023,0.3895,0.1609
ML_Laplace,377002,27689972,(0.125, 0.1),0.588918,0.0174,0.1156
ML_Laplace,377002,27689972,(0.1875, 0.15),0.591619,0.0266,0.1095
ML_Laplace,377002,27689972,(0.25, 0.2),0.593478,0.0412,0.1046
ML_Laplace,377002,27689972,(0.3125, 0.25),0.594151,0.0458,0.099
ML_Laplace,377002,27689972,(0.375, 0.3),0.594214,0.0501,0.0931
ML_Laplace,377002,27689972,(0.4375, 0.35),0.594662,0.0615,0.0884
ML_Laplace,377002,27689972,(0.5, 0.4),0.595261,0.0656,0.0821
ML_Laplace,377002,27689972,(0.5625, 0.45),0.596130,0.0701,0.0768
ML_Laplace,377002,27689972,(0.625, 0.5),0.597063,0.0794,0.0715
ML_Laplace,377002,27689972,(0.6875, 0.55),0.598186,0.0854,0.0658
ML_Laplace,377002,27689972,(0.75, 0.6),0.599428,0.0907,0.0622
ML_Laplace,377002,27689972,(0.8125, 0.65),0.600815,0.097,0.0593
ML_Laplace,377002,27689972,(0.875, 0.7),0.602265,0.1056,0.0551
Queen_4147,4147110,329499284,(0.125, 0.1),0.515364,0.1575,1.2613
Queen_4147,4147110,329499284,(0.1875, 0.15),0.515518,0.2364,1.1954
Queen_4147,4147110,329499284,(0.25, 0.2),0.515890,0.3047,1.1287
Queen_4147,4147110,329499284,(0.3125, 0.25),0.516499,0.3805,1.0626
Queen_4147,4147110,329499284,(0.375, 0.3),0.517228,0.4494,0.9963
Queen_4147,4147110,329499284,(0.4375, 0.35),0.517618,0.522,0.9294
Queen_4147,4147110,329499284,(0.5, 0.4),0.518051,0.5916,0.8622
Queen_4147,4147110,329499284,(0.5625, 0.45),0.518262,0.6653,0.796
Queen_4147,4147110,329499284,(0.625, 0.5),0.518569,0.7351,0.7292
Queen_4147,4147110,329499284,(0.6875, 0.55),0.518813,0.8089,0.6622
Queen_4147,4147110,329499284,(0.75, 0.6),0.518804,0.8796,0.5958
Queen_4147,4147110,329499284,(0.8125, 0.65),0.518885,0.9524,0.5289
Queen_4147,4147110,329499284,(0.875, 0.7),0.518971,1.0238,0.461
RM07R,381689,37464962,(0.125, 0.1),0.501121,0.0277,0.1539
RM07R,381689,37464962,(0.1875, 0.15),0.518867,0.0419,0.1463
RM07R,381689,37464962,(0.25, 0.2),0.503815,0.0597,0.1396
RM07R,381689,37464962,(0.3125, 0.25),0.506855,0.0644,0.1319
RM07R,381689,37464962,(0.375, 0.3),0.525571,0.0692,0.1236
RM07R,381689,37464962,(0.4375, 0.35),0.503726,0.0794,0.1156
