Matrix Name,cd_perf (ms),cusparse_perf (ms)
av41092,0.0161,0.0209
az2010,0.0197,0.0265
b2_ss,0.0061,0.0135
b_dyn,0.0063,0.0134
barrier2-1,0.0207,0.0349
barrier2-10,0.0208,0.0356
barrier2-11,0.0208,0.0356
barrier2-12,0.0209,0.0358
barrier2-2,0.0209,0.0353
barrier2-3,0.0208,0.0350
barrier2-4,0.0209,0.0353
barrier2-9,0.0209,0.0361
barth,0.0062,0.0145
barth4,0.0051,0.0140
barth5,0.0052,0.0140
bauru5727,0.0071,0.0160
bayer01,0.0070,0.0156
bayer02,0.0065,0.0146
bayer03,0.0059,0.0142
bayer04,0.0082,0.0152
bayer05,0.0060,0.0142
bayer06,0.0061,0.0141
bayer07,0.0058,0.0141
bayer08,0.0061,0.0141
bayer09,0.0068,0.0138
bayer10,0.0059,0.0147
bbmat,0.0097,0.0233
bcircuit,0.0106,0.0163
bcspwr04,0.0048,0.0121
bcspwr05,0.0058,0.0121
bcspwr06,0.0062,0.0133
bcspwr07,0.0062,0.0131
bcspwr08,0.0063,0.0133
bcspwr09,0.0060,0.0136
bcspwr10,0.0060,0.0144
bcsstk02,0.0048,0.0116
bcsstk04,0.0048,0.0123
bcsstk05,0.0047,0.0123
bcsstk06,0.0051,0.0126
bcsstk07,0.0050,0.0126
bcsstk08,0.0053,0.0127
bcsstk09,0.0050,0.0129
bcsstk10,0.0052,0.0127
bcsstk11,0.0052,0.0127
bcsstk12,0.0052,0.0128
bcsstk13,0.0058,0.0132
bcsstk14,0.0055,0.0127
bcsstk15,0.0057,0.0137
bcsstk16,0.0064,0.0143
bcsstk17,0.0077,0.0150
bcsstk18,0.0059,0.0143
bcsstk19,0.0047,0.0122
bcsstk20,0.0047,0.0127
bcsstk21,0.0047,0.0131
bcsstk23,0.0049,0.0136
bcsstk24,0.0054,0.0136
bcsstk25,0.0061,0.0147
bcsstk26,0.0052,0.0132
bcsstk27,0.0053,0.0131
bcsstk28,0.0059,0.0142
bcsstk29,0.0079,0.0159
bcsstk30,0.0104,0.0244
bcsstk31,0.0087,0.0191
bcsstk32,0.0097,0.0237
bcsstk33,0.0072,0.0162
bcsstk34,0.0050,0.0124
bcsstk35,0.0084,0.0194
bcsstk36,0.0081,0.0186
bcsstk37,0.0079,0.0184
bcsstk38,0.0076,0.0145
bcsstk39,0.0095,0.0238
bcsstm07,0.0048,0.0119
bcsstm08,0.0079,0.0144
bcsstm09,0.0078,0.0144
bcsstm10,0.0050,0.0126
bcsstm11,0.0081,0.0148
bcsstm12,0.0049,0.0127
bcsstm13,0.0083,0.0146
bcsstm21,0.0078,0.0150
bcsstm23,0.0081,0.0157
bcsstm24,0.0079,0.0153
bcsstm25,0.0086,0.0164
bcsstm26,0.0081,0.0151
bcsstm27,0.0055,0.0129
bcsstm34,0.0050,0.0122
bcsstm35,0.0133,0.0200
bcsstm36,0.0079,0.0150
bcsstm37,0.0131,0.0206
bcsstm38,0.0103,0.0169
bcsstm39,0.0086,0.0173
belgium_osm,0.0356,0.0394
benzene,0.0061,0.0147
bfly,0.0059,0.0158
bfwa398,0.0047,0.0121
bfwa782,0.0047,0.0126
bfwb398,0.0048,0.0126
bfwb782,0.0048,0.0124
bibd_81_2,0.0078,0.0150
big,0.0055,0.0143
big_dual,0.0066,0.0152
biplane-9,0.0064,0.0148
bips07_1693,0.0066,0.0152
bips07_1998,0.0066,0.0149
bips07_2476,0.0069,0.0154
